               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.025697,            0.015429,                   0,             0.98398,             0.96552,             0.98989,             0.73624,            0.023643,            0.013919,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.026614,            0.015252,                   0,              0.9873,             0.97491,             0.99365,             0.75297,            0.023637,            0.014211,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.02423,            0.014682,                   0,             0.98428,             0.98114,             0.99316,             0.76383,            0.021717,            0.014195,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.026317,            0.015182,                   0,             0.98686,             0.96238,             0.98648,             0.76611,            0.021863,            0.014565,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.025344,            0.014499,                   0,             0.99678,             0.97166,             0.99305,              0.7446,            0.022151,            0.014094,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.024238,             0.01486,                   0,             0.97791,             0.97158,             0.99174,             0.74786,             0.02351,            0.014635,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.025545,            0.015286,                   0,             0.98722,             0.96851,             0.99184,             0.75511,             0.02227,            0.014102,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.024958,            0.014784,                   0,             0.99029,              0.9592,             0.99215,             0.76529,            0.020511,            0.013268,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.024328,            0.014728,                   0,             0.98107,             0.97484,             0.98965,             0.76561,            0.020417,             0.01334,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.024199,            0.014633,                   0,             0.98404,             0.97179,             0.98501,             0.74676,            0.021336,            0.013262,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.024192,            0.014608,                   0,             0.96866,             0.97179,             0.99035,             0.76372,            0.020968,            0.013873,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.024167,            0.014596,                   0,             0.99362,             0.97806,              0.9907,             0.75171,             0.02161,            0.014591,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.023193,            0.013999,                   0,             0.97784,             0.96845,             0.99067,             0.77165,            0.021308,            0.015258,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.023106,            0.014304,                   0,             0.98119,             0.98116,             0.99156,             0.76178,            0.020862,            0.014442,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.022969,            0.013559,                   0,             0.97204,             0.98433,             0.99292,             0.76014,             0.02073,            0.013551,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.023938,            0.014542,                   0,             0.98428,             0.98119,             0.99297,             0.77982,             0.01987,            0.013289,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.021951,            0.013977,                   0,             0.98418,             0.97481,             0.99217,             0.77067,             0.02064,            0.014013,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.02345,            0.014267,                   0,             0.97489,             0.98119,             0.99122,             0.77076,            0.020392,            0.012871,                   0,           0.0092995,           0.0092995,           0.0092995
